record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,475.0,440.0,475.0,440.0,-0.2517993240856955,-0.2947106762551057,-0.2137861948584934,0.020406609512746903,-0.2486172914505005,-0.304887917637825,-0.20152878016233444,True,1.3411391118441302e-05,0.00020587425995777204,3.80942839208067e-05,5.1505675039248e-05,0.0002930385149325461,0.0004989127748903182,35.205783487942504,70.2550175034711,-24.46998491802509
difference,diff_sst_omega,all,,weak_ascent,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,475.0,431.0,475.0,431.0,-0.2179622007718558,-0.2549041231690915,-0.17626150259175422,0.020112315197310958,-0.22699904441833496,-0.28041042387485504,-0.17167146503925326,True,9.445626571811473e-06,0.00014204616695660528,3.710877284809532e-05,4.655439941990679e-05,0.00025909956997536497,0.00040114573693197025,25.45389094507955,54.8230037472123,-15.089844371565448
difference,diff_sst_omega,all,,neutral,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,474.0,427.0,474.0,427.0,-0.2194524968102991,-0.2646560099272856,-0.1758924843691262,0.022522936217557625,-0.23658180236816406,-0.2828472822904587,-0.18656298220157624,True,9.145277056734157e-06,0.00013084166770583434,3.700205357677131e-05,4.614733063350547e-05,0.0002565716198110553,0.00038741328751688966,24.715593251492578,50.99615764291813,-13.785925378754712
difference,diff_sst_omega,all,,weak_subsidence,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,476.0,431.0,476.0,431.0,-0.24163837759037232,-0.2813238011663034,-0.20430293582478176,0.02007455447464801,-0.2620275616645813,-0.3012679159641266,-0.20894969403743746,True,9.063448364427011e-06,0.0001399373741875626,3.694892464265856e-05,4.601237300708557e-05,0.00024085515756933873,0.00038079253175690134,24.52966751287535,58.100219069328695,-14.121203188835068
difference,diff_sst_omega,all,,strong_subsidence,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,477.0,445.0,477.0,445.0,-0.22890135838391923,-0.27232665272381296,-0.18521826697478064,0.022310863240069357,-0.29563820362091064,-0.3408052891492844,-0.24213619828224184,True,1.0563390119942949e-05,0.00014311522808380746,3.735497868158776e-05,4.791836880153071e-05,0.0002659322774715282,0.00040904750555533566,28.278399540754222,53.816418768169264,-16.06108964848653
difference,diff_sst_only,all,,all,,,,block,,,,,,,,,,,,,,,sst_300_303,sst_297_300,2377.0,2174.0,478.0,454.0,-0.23157192758089895,-0.2684453017453761,-0.1953366167828641,0.018726130048692387,-0.2643386125564575,-0.3078112334012985,-0.22140427082777023,True,1.032183980033697e-05,0.00015220056022345352,3.730597743066135e-05,4.762781723099832e-05,0.0002632536243220967,0.0004154541845455502,27.668058877485862,57.8151813162628,-16.6694192232128
group,sst_omega,nan,sst_297_300,strong_ascent,440.0,440.0,148905.0,block,-1.7026378687809813,-1.7031037139880387,0.017707456684496834,-1.7373661089925603,-1.6671550942059945,-1.7302976846694946,-1.7742428496479987,-1.681737507879734,3.80942839208067e-05,0.0002930385149325461,266.580748648302,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,431.0,431.0,155507.0,block,-1.596297902554239,-1.5966585655075491,0.01617516691534984,-1.6290794114199771,-1.5659919071985784,-1.5837149620056152,-1.619611394405365,-1.5484100580215454,3.710877284809532e-05,0.00025909956997536497,275.121541403673,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,427.0,427.0,100782.0,block,-1.5612839182590155,-1.5608660518056616,0.019039710686934212,-1.5980647749902213,-1.5233063323575942,-1.5433392524719238,-1.584380030632019,-1.5189912855625154,3.700205357677131e-05,0.0002565716198110553,275.3885475092634,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,431.0,431.0,203232.0,block,-1.5191903899136385,-1.5199905670863294,0.016254209943940365,-1.5519958107660927,-1.4868347983850543,-1.5034172534942627,-1.5430667281150818,-1.4741805911064148,3.694892464265856e-05,0.00024085515756933873,276.3395270661586,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
