record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,iid,,,,,,,,,,,,,,,sst_300_303,sst_297_300,475.0,440.0,475.0,440.0,-0.2517993240856955,-0.2920363204447491,-0.211457607732453,0.019884532895927762,-0.2486172914505005,-0.2984980449080467,-0.20446200072765353,True,1.3411391118441302e-05,0.00020587425995777204,3.80942839208067e-05,5.1505675039248e-05,0.0002930385149325461,0.0004989127748903182,35.205783487942504,70.2550175034711,-24.46998491802509
difference,diff_sst_omega,all,,weak_ascent,,,,iid,,,,,,,,,,,,,,,sst_300_303,sst_297_300,475.0,431.0,475.0,431.0,-0.2179622007718558,-0.25585827230096647,-0.17824889011960385,0.020135410224961334,-0.22699904441833496,-0.2796482414007187,-0.17108356952667236,True,9.445626571811473e-06,0.00014204616695660528,3.710877284809532e-05,4.655439941990679e-05,0.00025909956997536497,0.00040114573693197025,25.45389094507955,54.8230037472123,-15.089844371565448
difference,diff_sst_omega,all,,neutral,,,,iid,,,,,,,,,,,,,,,sst_300_303,sst_297_300,474.0,427.0,474.0,427.0,-0.2194524968102991,-0.26261234331567285,-0.17210712510675014,0.022571166240737076,-0.23658180236816406,-0.28121519088745117,-0.18259650468826297,True,9.145277056734157e-06,0.00013084166770583434,3.700205357677131e-05,4.614733063350547e-05,0.0002565716198110553,0.00038741328751688966,24.715593251492578,50.99615764291813,-13.785925378754712
difference,diff_sst_omega,all,,weak_subsidence,,,,iid,,,,,,,,,,,,,,,sst_300_303,sst_297_300,476.0,431.0,476.0,431.0,-0.24163837759037232,-0.27762797933848504,-0.2038321443705267,0.019136183542409525,-0.2620275616645813,-0.29838512241840365,-0.20863002836704256,True,9.063448364427011e-06,0.0001399373741875626,3.694892464265856e-05,4.601237300708557e-05,0.00024085515756933873,0.00038079253175690134,24.52966751287535,58.100219069328695,-14.121203188835068
difference,diff_sst_omega,all,,strong_subsidence,,,,iid,,,,,,,,,,,,,,,sst_300_303,sst_297_300,477.0,445.0,477.0,445.0,-0.22890135838391923,-0.2774269410150866,-0.18682930094662556,0.022378423403495572,-0.29563820362091064,-0.3436881363391876,-0.24177203476428988,True,1.0563390119942949e-05,0.00014311522808380746,3.735497868158776e-05,4.791836880153071e-05,0.0002659322774715282,0.00040904750555533566,28.278399540754222,53.816418768169264,-16.06108964848653
difference,diff_sst_only,all,,all,,,,iid,,,,,,,,,,,,,,,sst_300_303,sst_297_300,2377.0,2174.0,2377.0,2174.0,-0.23157192758089895,-0.2502086458928265,-0.21313477141011108,0.009488974831037195,-0.2643386125564575,-0.28786260038614275,-0.2419596552848816,True,1.032183980033697e-05,0.00015220056022345352,3.730597743066135e-05,4.762781723099832e-05,0.0002632536243220967,0.0004154541845455502,27.668058877485862,57.8151813162628,-16.6694192232128
group,sst_omega,nan,sst_297_300,strong_ascent,440.0,440.0,148905.0,iid,-1.7026378687809813,-1.70204216517061,0.01738106571940279,-1.7356660624915226,-1.6667074628699232,-1.7302976846694946,-1.770761451125145,-1.68086838722229,3.80942839208067e-05,0.0002930385149325461,266.580748648302,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,431.0,431.0,155507.0,iid,-1.596297902554239,-1.5961159585648692,0.01683839569963729,-1.6306146966375565,-1.5629021973973638,-1.5837149620056152,-1.620509147644043,-1.5483864426612854,3.710877284809532e-05,0.00025909956997536497,275.121541403673,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,427.0,427.0,100782.0,iid,-1.5612839182590155,-1.561832889907533,0.01889737454072658,-1.5974139522333615,-1.5232045337522895,-1.5433392524719238,-1.583308458328247,-1.5172871351242065,3.700205357677131e-05,0.0002565716198110553,275.3885475092634,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,431.0,431.0,203232.0,iid,-1.5191903899136385,-1.520015413583293,0.01574734389772869,-1.5501007091107057,-1.4885435307696635,-1.5034172534942627,-1.5429542660713196,-1.4742310047149658,3.694892464265856e-05,0.00024085515756933873,276.3395270661586,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
