record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,344.0,475.0,31.0,36.0,-0.12234368608288682,-0.19615110864470828,-0.05501996660996594,0.03588300545047746,-0.1386650800704956,-0.21031735688447953,-0.05626440644264224,True,9.3852001504332e-06,0.0001326182459763834,5.1505675039248e-05,6.08908751896812e-05,0.0004989127748903182,0.0006315310208667016,18.221681675430045,26.581449233393236,-8.416959863478127
difference,diff_sst_omega,all,,weak_ascent,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,337.0,475.0,33.0,36.0,-0.1713034559160067,-0.25324695965293714,-0.09105385722302431,0.04090101748336538,-0.21133089065551758,-0.2951173812150955,-0.10997956693172457,True,8.152960677410187e-06,0.0001273432807191725,4.655439941990679e-05,5.470736009731698e-05,0.00040114573693197025,0.0005284890176511427,17.512760939890804,31.74489194204461,-7.770101757131158
difference,diff_sst_omega,all,,neutral,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,324.0,474.0,30.0,36.0,-0.14283990153146586,-0.22052722364937913,-0.05856147176525547,0.04148251257024713,-0.2024276852607727,-0.28528346568346025,-0.11052448451519015,True,8.355345219857689e-06,0.0001111504029525148,4.614733063350547e-05,5.450267585336316e-05,0.00038741328751688966,0.0004985636904694045,18.105803965595474,28.6903951242687,-8.153241203799212
difference,diff_sst_omega,all,,weak_subsidence,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,339.0,476.0,31.0,36.0,-0.15915769251872725,-0.24512035421031395,-0.0729587533601744,0.04404419806034941,-0.18524092435836792,-0.2721275299787521,-0.11026756763458254,True,8.311509587032513e-06,0.00011189831430830771,4.601237300708557e-05,5.4323882594118085e-05,0.00038079253175690134,0.000492690846065209,18.0636403728897,29.385637841170634,-7.68622683879758
difference,diff_sst_omega,all,,strong_subsidence,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,353.0,477.0,34.0,36.0,-0.16030230489579256,-0.2394568252186293,-0.0747587046366231,0.043227132697915394,-0.18494772911071777,-0.27831690311431884,-0.08237191140651708,True,8.827831800250337e-06,0.00011921254040738518,4.791836880153071e-05,5.6746200601781045e-05,0.00040904750555533566,0.0005282600459627208,18.422646724085357,29.143935310285908,-8.225945863324569
difference,diff_sst_only,all,,all,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,1697.0,2377.0,34.0,36.0,-0.15175759712898684,-0.22385009313636153,-0.07602570190217732,0.03799370303919036,-0.17707037925720215,-0.2615201771259308,-0.09145976006984716,True,8.641430504046204e-06,0.00012101022257266647,4.762781723099832e-05,5.626924773504452e-05,0.0004154541845455502,0.0005364644071182167,18.143662687993128,29.127212355565756,-8.145086058158995
group,sst_omega,nan,sst_297_300,strong_ascent,440.0,36.0,148905.0,block,-1.7026378687809813,-1.7010797455142155,0.036783594342617354,-1.7759742873811177,-1.6316095309265348,-1.7302976846694946,-1.8165041208267212,-1.61778521835804,3.80942839208067e-05,0.0002930385149325461,266.580748648302,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,431.0,36.0,155507.0,block,-1.596297902554239,-1.5968214905540583,0.03893799696334989,-1.6720040055403356,-1.52346031874569,-1.5837149620056152,-1.6724016666412354,-1.5010345831513405,3.710877284809532e-05,0.00025909956997536497,275.121541403673,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,427.0,36.0,100782.0,block,-1.5612839182590155,-1.562325507800086,0.03559643993323778,-1.6318282559415043,-1.4952952978127894,-1.5433392524719238,-1.627232986688614,-1.4657329320907593,3.700205357677131e-05,0.0002565716198110553,275.3885475092634,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,431.0,36.0,203232.0,block,-1.5191903899136385,-1.5189568850123498,0.03521097999727725,-1.5884754000970869,-1.4486626243649767,-1.5034172534942627,-1.5940815210342407,-1.4170522660017013,3.694892464265856e-05,0.00024085515756933873,276.3395270661586,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
