record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,6.0,6.0,-0.06106572681003186,-0.11616122395628029,-0.009989607872234647,0.027223721414897782,-0.0280306339263916,-0.08471792340278625,0.011683687567710875,True,4.579716915031895e-06,7.191574655330949e-05,5.8144741109976574e-05,6.272445802500847e-05,0.0006295180990289535,0.000701433845582263,7.87640778444553,11.42393628781146,-3.1864081115466263
difference,diff_sst_omega,all,,weak_ascent,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,6.0,6.0,-0.12958666019969511,-0.1986380778667001,-0.06312117845647837,0.03598012010427062,-0.11960268020629883,-0.20443600416183472,-0.028448662161827183,True,5.043954590493944e-06,8.619457932784117e-05,5.219769329616813e-05,5.7241647886662074e-05,0.0005077647907051465,0.0005939593700329877,9.663175270743666,16.975296614824448,-4.875277637145501
difference,diff_sst_omega,all,,neutral,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,6.0,6.0,-0.13519449366463543,-0.23117583944565695,-0.0493103543917336,0.04673432091433162,-0.11291104555130005,-0.2210284411907196,-0.023050650954246545,True,5.04148127017996e-06,7.477651646089123e-05,5.17046352494314e-05,5.674611651961136e-05,0.0004899452509966472,0.0005647217674575384,9.75054024819835,15.262218851755529,-6.1564342128934015
difference,diff_sst_omega,all,,weak_subsidence,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,6.0,6.0,-0.13098995553122617,-0.2089891838944619,-0.061107935715053054,0.038929739011910526,-0.1432729959487915,-0.2241741970181465,-0.057640486955642715,True,5.121991913862686e-06,7.78064079188173e-05,5.149699897325869e-05,5.661899088712138e-05,0.0004873581338971336,0.0005651645418159509,9.94619495501559,15.964934717851628,-5.723671590986328
difference,diff_sst_omega,all,,strong_subsidence,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,6.0,6.0,-0.1222657263278959,-0.20249658020006273,-0.04445141446259268,0.03946750896265927,-0.1108594536781311,-0.21412248611450196,-0.01573170125484473,True,4.737943830453638e-06,7.415069558192044e-05,5.370917516403198e-05,5.8447118994485616e-05,0.0005173867713084393,0.0005915374668903598,8.82147941386847,14.331772610729473,-4.101957483547693
difference,diff_sst_only,all,,all,,,,block,,,,,,,,,,,,,,,sst_303_305,sst_300_303,360.0,360.0,6.0,6.0,-0.1158205125066969,-0.19267708209653703,-0.04926215487221891,0.036638751163321,-0.10648304224014282,-0.19504789561033248,-0.009487086534500129,True,4.905017704004422e-06,7.696878916855587e-05,5.345064875857336e-05,5.835566646257778e-05,0.000526394609187264,0.0006033633983558199,9.17672248686723,14.621880206446862,-4.808749807223876
group,sst_omega,nan,sst_297_300,strong_ascent,44.0,6.0,3967.0,block,-1.675942023369399,-1.6703434363964618,0.09106622175243062,-1.838692678156353,-1.4790598515421154,-1.8195617198944092,-1.9331936836242676,-1.7547945976257324,4.21336504917814e-05,0.0003302246196571187,260.8614395647669,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,42.0,6.0,3408.0,block,-1.513074397552936,-1.5002411847280237,0.15285660437734644,-1.7621842838966466,-1.172689602976909,-1.5614608526229858,-1.7614264488220215,-1.1635576486587524,3.8799547361295915e-05,0.0002720805309114179,274.2068753577561,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,39.0,6.0,2223.0,block,-1.5337737477742708,-1.524591641653666,0.07574571515062846,-1.6389580307330223,-1.3439812596355165,-1.5165516138076782,-1.7711913585662842,-1.4251611232757568,3.944039422211249e-05,0.0002908898711141844,272.75981106426246,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,41.0,6.0,4543.0,block,-1.4298889353507902,-1.4266034218515333,0.09368315199164581,-1.5792034720932995,-1.2090904897934682,-1.4013144969940186,-1.530898928642273,-1.1442316770553589,4.021942177354415e-05,0.0002552501968372182,275.03408220599033,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,strong_subsidence,46.0,6.0,7450.0,block,-1.4699727332462436,-1.457267931143695,0.12384494208535927,-1.6596919043590341,-1.1982292874079001,-1.5289736986160278,-1.7488657236099243,-1.2664178609848022,4.0773297294673164e-05,0.000282060446530206,268.8699107399658,297.0,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_ascent,72.0,6.0,116743.0,block,-2.1101127598020764,-2.1097156104511687,0.0257883572270935,-2.160639692304863,-2.0576049449957083,-2.1395628452301025,-2.175265783071518,-2.084348678588867,5.8144741109976574e-05,0.0006295180990289535,223.20115095320358,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_ascent,72.0,6.0,52368.0,block,-1.959840468234486,-1.9597916677047809,0.033561330373412794,-2.0218062698841095,-1.8930471175246768,-1.9671140909194946,-2.07295823097229,-1.8941521644592285,5.219769329616813e-05,0.0005077647907051465,245.53874343886076,300.0,303.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,neutral,72.0,6.0,31854.0,block,-1.9211946328481038,-1.9190321983893712,0.04143553588645769,-1.9965639758855103,-1.8345689177513123,-1.9429306387901306,-2.02623929977417,-1.8642185926437378,5.17046352494314e-05,0.0004899452509966472,247.55001344194145,300.0,303.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_subsidence,72.0,6.0,65325.0,block,-1.9122905648416944,-1.9111283259772593,0.036006733447768814,-1.9749144068608682,-1.8381935473945406,-1.929573655128479,-2.0114108324050903,-1.8420105576515198,5.149699897325869e-05,0.0004873581338971336,248.26695871074512,300.0,303.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_subsidence,72.0,6.0,128183.0,block,-1.9415063891145918,-1.9428591890633107,0.03836067320228109,-2.0157472772730722,-1.8676827963855531,-1.9690009951591492,-2.060076355934143,-1.8689186573028564,5.370917516403198e-05,0.0005173867713084393,241.94466341768324,300.0,303.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,strong_ascent,72.0,6.0,37412.0,block,-2.171178486612108,-2.1711447692016765,0.009036250648982055,-2.1901195452445084,-2.1555018539230026,-2.167593479156494,-2.1885178089141846,-2.1593520641326904,6.272445802500847e-05,0.000701433845582263,220.01474284165695,303.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,weak_ascent,72.0,6.0,14238.0,block,-2.089427128434181,-2.089743167637123,0.013717146551235963,-2.1191801677147546,-2.062273149564862,-2.0867167711257935,-2.1328632831573486,-2.068790912628174,5.7241647886662074e-05,0.0005939593700329877,240.66346580171526,303.0,305.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,neutral,72.0,6.0,8437.0,block,-2.056389126512739,-2.0562310145480764,0.020803749919292746,-2.0938394595765404,-2.012686731086837,-2.0558416843414307,-2.119093179702759,-2.001061201095581,5.674611651961136e-05,0.0005647217674575384,241.39357922904804,303.0,305.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,weak_subsidence,72.0,6.0,17194.0,block,-2.0432805203729205,-2.0426867986188997,0.013855037706631617,-2.0707785884539285,-2.017618010441462,-2.0728466510772705,-2.093791961669922,-2.0552587509155273,5.661899088712138e-05,0.0005651645418159509,242.5432871197588,303.0,305.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,strong_subsidence,72.0,6.0,37431.0,block,-2.0637721154424877,-2.06403880751133,0.010477352924020439,-2.0845715040547983,-2.0441954500145383,-2.0798604488372803,-2.121553421020508,-2.0628600120544434,5.8447118994485616e-05,0.0005915374668903598,237.84270593413555,303.0,305.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,strong_ascent,1.0,1.0,3.0,block,-1.6028226613998413,-1.6028226613998413,0.0,-1.6028226613998413,-1.6028226613998413,-1.6028226613998413,-1.6028226613998413,-1.6028226613998413,4.294023892725818e-05,0.00021236504835542291,271.026611328125,305.0,307.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,weak_ascent,1.0,1.0,5.0,block,-1.727993369102478,-1.727993369102478,0.0,-1.727993369102478,-1.727993369102478,-1.727993369102478,-1.727993369102478,-1.727993369102478,6.69431610731408e-05,0.0006608030525967479,279.0854156494141,305.0,307.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,neutral,2.0,1.0,4.0,block,-1.736518681049347,-1.736518681049347,0.0,-1.736518681049347,-1.736518681049347,-1.736518681049347,-1.736518681049347,-1.736518681049347,5.035479262005538e-05,0.000342370753060095,266.5173759460449,305.0,307.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,weak_subsidence,2.0,1.0,5.0,block,-1.8377709984779358,-1.8377709984779358,0.0,-1.8377709984779358,-1.8377709984779358,-1.8377709984779358,-1.8377709984779358,-1.8377709984779358,4.7271494622691534e-05,0.00037109898403286934,275.06648508707684,305.0,307.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,strong_subsidence,4.0,2.0,14.0,block,-1.8226288557052612,-1.7700358829498293,0.15159275860618915,-1.9239640633265178,-1.5186232328414917,-1.8067511916160583,-1.8409922122955322,-1.5186232328414917,6.383889740391169e-05,0.00046299501264002174,267.90716035025457,305.0,307.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_297_300,all,212.0,6.0,21591.0,block,-1.5252450092801086,-1.522698496376695,0.09599534284372184,-1.6776856557766269,-1.3117607672451228,-1.559903860092163,-1.7614264488220215,-1.3240030556917193,4.0312287517667325e-05,0.0002865189110724594,270.17282076351773,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
