record_type,group_type,region,sst_bin,omega_bin,n_samples,n_blocks,n_raw_profiles_total,bootstrap_method,dlnq_mean_point,dlnq_mean_boot_mean,dlnq_mean_se,dlnq_mean_ci_lo,dlnq_mean_ci_hi,dlnq_median_point,dlnq_median_ci_lo,dlnq_median_ci_hi,q_uut_point,q_lut_point,mean_olr_point,sst_sort_lo,sst_sort_hi,omega_sort,warm_sst_bin,ref_sst_bin,n_warm,n_ref,n_warm_blocks,n_ref_blocks,ddlnq_mean_point,ddlnq_mean_ci_lo,ddlnq_mean_ci_hi,ddlnq_mean_se,ddlnq_median_point,ddlnq_median_ci_lo,ddlnq_median_ci_hi,robust_95_mean,dq_uut_point,dq_lut_point,q_uut_ref_point,q_uut_warm_point,q_lut_ref_point,q_lut_warm_point,pct_dq_uut,pct_dq_lut,dmean_olr_point
difference,diff_sst_omega,all,,strong_ascent,,,,iid,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,72.0,72.0,-0.06106572681003186,-0.0989416053725615,-0.018690297131737022,0.020845318854408473,-0.0280306339263916,-0.07640413641929626,0.0156824916601181,True,4.579716915031895e-06,7.191574655330949e-05,5.8144741109976574e-05,6.272445802500847e-05,0.0006295180990289535,0.000701433845582263,7.87640778444553,11.42393628781146,-3.1864081115466263
difference,diff_sst_omega,all,,weak_ascent,,,,iid,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,72.0,72.0,-0.12958666019969511,-0.18740181782179433,-0.06743634988864286,0.031770111528346065,-0.11960268020629883,-0.18285387605428696,-0.04558331668376924,True,5.043954590493944e-06,8.619457932784117e-05,5.219769329616813e-05,5.7241647886662074e-05,0.0005077647907051465,0.0005939593700329877,9.663175270743666,16.975296614824448,-4.875277637145501
difference,diff_sst_omega,all,,neutral,,,,iid,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,72.0,72.0,-0.13519449366463543,-0.19860182777047142,-0.07221214498082813,0.033060433263274985,-0.11291104555130005,-0.20470911413431167,-0.04106700420379639,True,5.04148127017996e-06,7.477651646089123e-05,5.17046352494314e-05,5.674611651961136e-05,0.0004899452509966472,0.0005647217674575384,9.75054024819835,15.262218851755529,-6.1564342128934015
difference,diff_sst_omega,all,,weak_subsidence,,,,iid,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,72.0,72.0,-0.13098995553122617,-0.2001711275842456,-0.06498067946069772,0.03373204037562972,-0.1432729959487915,-0.210165835916996,-0.05195482373237611,True,5.121991913862686e-06,7.78064079188173e-05,5.149699897325869e-05,5.661899088712138e-05,0.0004873581338971336,0.0005651645418159509,9.94619495501559,15.964934717851628,-5.723671590986328
difference,diff_sst_omega,all,,strong_subsidence,,,,iid,,,,,,,,,,,,,,,sst_303_305,sst_300_303,72.0,72.0,72.0,72.0,-0.1222657263278959,-0.17766405219833042,-0.05917869603468284,0.029819355159116784,-0.1108594536781311,-0.18821303248405458,-0.03027610778808598,True,4.737943830453638e-06,7.415069558192044e-05,5.370917516403198e-05,5.8447118994485616e-05,0.0005173867713084393,0.0005915374668903598,8.82147941386847,14.331772610729473,-4.101957483547693
difference,diff_sst_only,all,,all,,,,iid,,,,,,,,,,,,,,,sst_303_305,sst_300_303,360.0,360.0,360.0,360.0,-0.1158205125066969,-0.1435550530585978,-0.08804398124416687,0.014234353303037997,-0.10648304224014282,-0.14555830061435698,-0.06820815801620483,True,4.905017704004422e-06,7.696878916855587e-05,5.345064875857336e-05,5.835566646257778e-05,0.000526394609187264,0.0006033633983558199,9.17672248686723,14.621880206446862,-4.808749807223876
group,sst_omega,nan,sst_297_300,strong_ascent,44.0,44.0,3967.0,iid,-1.675942023369399,-1.679246247118847,0.08217563802654355,-1.827861688015136,-1.510158968869258,-1.8195617198944092,-1.9472207009792328,-1.7411078810691833,4.21336504917814e-05,0.0003302246196571187,260.8614395647669,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_ascent,42.0,42.0,3408.0,iid,-1.513074397552936,-1.5107274086162716,0.08831037293227759,-1.6809454211809982,-1.3395205126044207,-1.5614608526229858,-1.7107315063476562,-1.38226979970932,3.8799547361295915e-05,0.0002720805309114179,274.2068753577561,297.0,300.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,neutral,39.0,39.0,2223.0,iid,-1.5337737477742708,-1.5349247398758543,0.08841700028205954,-1.7085817330540756,-1.3652255462912413,-1.5165516138076782,-1.8206088542938232,-1.4251611232757568,3.944039422211249e-05,0.0002908898711141844,272.75981106426246,297.0,300.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,weak_subsidence,41.0,41.0,4543.0,iid,-1.4298889353507902,-1.4290879597823793,0.0648168826631134,-1.5581374716831415,-1.3006309319014957,-1.4013144969940186,-1.5390231609344482,-1.2744691371917725,4.021942177354415e-05,0.0002552501968372182,275.03408220599033,297.0,300.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_297_300,strong_subsidence,46.0,46.0,7450.0,iid,-1.4699727332462436,-1.4667637609590005,0.0840485041602576,-1.6203867806931553,-1.3023549515915953,-1.5289736986160278,-1.714610517024994,-1.376401126384735,4.0773297294673164e-05,0.000282060446530206,268.8699107399658,297.0,300.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_ascent,72.0,72.0,116743.0,iid,-2.1101127598020764,-2.1115391067415477,0.018040123880890796,-2.1443332618723314,-2.07635878018207,-2.1395628452301025,-2.1792664527893066,-2.108237013220787,5.8144741109976574e-05,0.0006295180990289535,223.20115095320358,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_ascent,72.0,72.0,52368.0,iid,-1.959840468234486,-1.9604553427447875,0.026410281133611893,-2.014892107869188,-1.907835861709383,-1.9671140909194946,-2.033801555633545,-1.9242402285337448,5.219769329616813e-05,0.0005077647907051465,245.53874343886076,300.0,303.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,neutral,72.0,72.0,31854.0,iid,-1.9211946328481038,-1.920803146213293,0.027995508412235665,-1.975184981028239,-1.8662185587402849,-1.9429306387901306,-2.0016252994537354,-1.8864105939865112,5.17046352494314e-05,0.0004899452509966472,247.55001344194145,300.0,303.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,weak_subsidence,72.0,72.0,65325.0,iid,-1.9122905648416944,-1.913269400578406,0.02849187104053525,-1.9667169417358106,-1.8555679893328083,-1.929573655128479,-1.9976005554199219,-1.8674957752227783,5.149699897325869e-05,0.0004873581338971336,248.26695871074512,300.0,303.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_300_303,strong_subsidence,72.0,72.0,128183.0,iid,-1.9415063891145918,-1.9431862796660926,0.02723580678892167,-1.9968434191412396,-1.8925573536919222,-1.9690009951591492,-2.0522044748067856,-1.889789842069149,5.370917516403198e-05,0.0005173867713084393,241.94466341768324,300.0,303.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,strong_ascent,72.0,72.0,37412.0,iid,-2.171178486612108,-2.1711008442706534,0.009868636593195182,-2.1897295809454387,-2.151764316856861,-2.167593479156494,-2.2016576528549194,-2.1539120256900786,6.272445802500847e-05,0.000701433845582263,220.01474284165695,303.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,weak_ascent,72.0,72.0,14238.0,iid,-2.089427128434181,-2.0894634189440144,0.01602295814025791,-2.12004338171747,-2.0584475856274365,-2.0867167711257935,-2.119796872138977,-2.0685667991638184,5.7241647886662074e-05,0.0005939593700329877,240.66346580171526,303.0,305.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,neutral,72.0,72.0,8437.0,iid,-2.056389126512739,-2.055907326115502,0.01792806785347105,-2.089804115684496,-2.0196428656164143,-2.0558416843414307,-2.119093179702759,-2.009757536649704,5.674611651961136e-05,0.0005647217674575384,241.39357922904804,303.0,305.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,weak_subsidence,72.0,72.0,17194.0,iid,-2.0432805203729205,-2.042926046967507,0.016699704174470024,-2.0756910846879086,-2.007568185362551,-2.0728466510772705,-2.0983550548553467,-2.017591753602028,5.661899088712138e-05,0.0005651645418159509,242.5432871197588,303.0,305.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_303_305,strong_subsidence,72.0,72.0,37431.0,iid,-2.0637721154424877,-2.0634975137677456,0.013659882045053166,-2.089667094209128,-2.036999026892914,-2.0798604488372803,-2.1088058948516846,-2.0514352321624756,5.8447118994485616e-05,0.0005915374668903598,237.84270593413555,303.0,305.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,strong_ascent,1.0,1.0,3.0,iid,-1.6028226613998413,-1.6028226613998413,0.0,-1.6028226613998413,-1.6028226613998413,-1.6028226613998413,-1.6028226613998413,-1.6028226613998413,4.294023892725818e-05,0.00021236504835542291,271.026611328125,305.0,307.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,weak_ascent,1.0,1.0,5.0,iid,-1.727993369102478,-1.727993369102478,0.0,-1.727993369102478,-1.727993369102478,-1.727993369102478,-1.727993369102478,-1.727993369102478,6.69431610731408e-05,0.0006608030525967479,279.0854156494141,305.0,307.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,neutral,2.0,2.0,4.0,iid,-1.736518681049347,-1.733998811483383,0.15293010948470032,-1.9465078115463257,-1.5265295505523682,-1.736518681049347,-1.9465078115463257,-1.5265295505523682,5.035479262005538e-05,0.000342370753060095,266.5173759460449,305.0,307.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,weak_subsidence,2.0,2.0,5.0,iid,-1.8377709984779358,-1.831958058655262,0.3191218285591245,-2.2849202156066895,-1.3906217813491821,-1.8377709984779358,-2.2849202156066895,-1.3906217813491821,4.7271494622691534e-05,0.00037109898403286934,275.06648508707684,305.0,307.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_omega,nan,sst_305_307,strong_subsidence,4.0,4.0,14.0,iid,-1.8226288557052612,-1.8227863894999028,0.11528885706365496,-2.0619198977947235,-1.5992154777050018,-1.8067511916160583,-2.1583898067474365,-1.5186232328414917,6.383889740391169e-05,0.00046299501264002174,267.90716035025457,305.0,307.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_297_300,all,212.0,212.0,21591.0,iid,-1.5252450092801086,-1.5240885495854508,0.03719396419357743,-1.5956740097294317,-1.4533527369252932,-1.559903860092163,-1.6727828979492188,-1.4647219777107239,4.0312287517667325e-05,0.0002865189110724594,270.17282076351773,297.0,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_300_303,all,360.0,360.0,394473.0,iid,-1.9689889629681905,-1.9691613548358282,0.01250659790078722,-1.9930433948089679,-1.9444885535041492,-1.9925704598426819,-2.029699921607971,-1.959764540195465,5.345064875857336e-05,0.000526394609187264,241.30030599248678,300.0,303.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
group,sst_only,nan,sst_303_305,all,360.0,360.0,114712.0,iid,-2.0848094754748874,-2.0847159338252412,0.007061825548806341,-2.0985322157293558,-2.0706110882759092,-2.0990535020828247,-2.1188139498233793,-2.0857657521963118,5.835566646257778e-05,0.0006033633983558199,236.4915561852629,303.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
