methods,group_type,region,sst_bin,omega_bin,n_samples,dlnq_mean_point,sst_sort_lo,sst_sort_hi,omega_sort,ci_width_iid,n_blocks_spatial10,ci_width_spatial10,n_blocks_spatial20,ci_width_spatial20,record_type,width_ratio_spatial10_over_iid,width_ratio_spatial20_over_iid,warm_sst_bin,ref_sst_bin,n_warm,n_ref,ddlnq_mean_point,robust_iid,robust_spatial10,robust_spatial20,robust_flip,ctx_label
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,neutral,39.0,-1.5337737477742708,297.0,300.0,2.0,0.3433561867628343,19.0,0.40314319878638005,6.0,0.29497677109750575,group,1.1741253378516878,0.8590984594701783,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,strong_ascent,44.0,-1.675942023369399,297.0,300.0,0.0,0.3177027191458779,22.0,0.4314608714710899,6.0,0.3596328266142377,group,1.3580647739844438,1.1319790638905642,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,strong_subsidence,46.0,-1.4699727332462436,297.0,300.0,4.0,0.31803182910156,22.0,0.3955611953349849,6.0,0.461462616951134,group,1.2437786382968188,1.4509950725836656,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,weak_ascent,42.0,-1.513074397552936,297.0,300.0,1.0,0.3414249085765775,21.0,0.4425004772568055,6.0,0.5894946809197377,group,1.296040406371107,1.7265719814567106,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,weak_subsidence,41.0,-1.4298889353507902,297.0,300.0,3.0,0.25750653978164584,21.0,0.3266110546500125,6.0,0.37011298229983125,group,1.2683602324312393,1.4372954668012343,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,neutral,72.0,-1.9211946328481038,300.0,303.0,2.0,0.10896642228795406,24.0,0.17421311946700446,6.0,0.161995058134198,group,1.5987780071059858,1.4866511603557175,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,strong_ascent,72.0,-2.1101127598020764,300.0,303.0,0.0,0.06797448169026143,24.0,0.10647601268381068,6.0,0.10303474730915463,group,1.5664115420399782,1.5157856999727033,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,strong_subsidence,72.0,-1.9415063891145918,300.0,303.0,4.0,0.1042860654493174,24.0,0.16536778461029544,6.0,0.1480644808875191,group,1.5857131429573734,1.4197916111762587,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,weak_ascent,72.0,-1.959840468234486,300.0,303.0,1.0,0.10705624615980502,24.0,0.1558899879953839,6.0,0.1287591523594327,group,1.4561503283300608,1.202724333965823,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,weak_subsidence,72.0,-1.9122905648416944,300.0,303.0,3.0,0.11114895240300227,24.0,0.16890283064617928,6.0,0.13672085946632762,group,1.5196079404668956,1.2300688086614358,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_303_305,neutral,72.0,-2.056389126512739,303.0,305.0,2.0,0.07016125006808194,24.0,0.09700586944344725,6.0,0.08115272848970356,group,1.3826131853311658,1.1566602420988208,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_303_305,strong_ascent,72.0,-2.171178486612108,303.0,305.0,0.0,0.03796526408857748,24.0,0.05210061041420966,6.0,0.03461769132150572,group,1.3723231397166824,0.9118253791344247,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_303_305,strong_subsidence,72.0,-2.0637721154424877,303.0,305.0,4.0,0.052668067316214096,24.0,0.08042775206267816,6.0,0.04037605404026001,group,1.5270686045834478,0.7666135496836443,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_303_305,weak_ascent,72.0,-2.089427128434181,303.0,305.0,1.0,0.06159579609003352,24.0,0.08309638693248544,6.0,0.05690701814989252,group,1.3490593872839127,0.9238782800487311,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_303_305,weak_subsidence,72.0,-2.0432805203729205,303.0,305.0,3.0,0.06812289932535753,24.0,0.0954052619148904,6.0,0.05316057801246643,group,1.4004873964513942,0.7803628227649194,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_305_307,neutral,2.0,-1.736518681049347,305.0,307.0,2.0,0.4199782609939575,2.0,0.4199782609939575,1.0,0.0,group,1.0,0.0,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_305_307,strong_ascent,1.0,-1.6028226613998413,305.0,307.0,0.0,0.0,1.0,0.0,1.0,0.0,group,,,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_305_307,strong_subsidence,4.0,-1.8226288557052612,305.0,307.0,4.0,0.4627044200897217,3.0,0.4468267560005188,2.0,0.4053408304850261,group,0.9656850823121074,0.876025412522378,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_305_307,weak_ascent,1.0,-1.727993369102478,305.0,307.0,1.0,0.0,1.0,0.0,1.0,0.0,group,,,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_305_307,weak_subsidence,2.0,-1.8377709984779358,305.0,307.0,3.0,0.8942984342575073,2.0,0.8942984342575073,1.0,0.0,group,1.0,0.0,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_297_300,all,212.0,-1.5252450092801086,297.0,300.0,0.0,0.14232127280413853,22.0,0.35596732139854237,6.0,0.36592488853150407,group,2.5011533018568626,2.571118718387849,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_300_303,all,360.0,-1.9689889629681905,300.0,303.0,0.0,0.048554841304818686,24.0,0.16441916036881143,6.0,0.1393439821650584,group,3.3862567758509825,2.869826744778787,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_303_305,all,360.0,-2.0848094754748874,303.0,305.0,0.0,0.027921127453446548,24.0,0.07844926364411808,6.0,0.0485735917670862,group,2.8096739207583257,1.7396715747984717,,,,,,,,,,
iid+spatial10+spatial20,sst_only,nan,sst_305_307,all,10.0,-1.776991081237793,305.0,307.0,4.0,0.3243335846066473,3.0,0.5219587683677673,2.0,0.2870753871070013,group,1.6093269187672945,0.8851238377153176,,,,,,,,,,
iid+spatial10+spatial20,diff_sst_omega,all,,neutral,,,,,,0.1263896827896433,,0.19607749224742135,,0.18186548505392336,difference,1.5513726114319235,1.4389266674291068,sst_303_305,sst_300_303,72.0,72.0,-0.13519449366463543,True,True,True,False,neutral
iid+spatial10+spatial20,diff_sst_omega,all,,strong_ascent,,,,,,0.08025130824082448,,0.11517477015679606,,0.10617161608404564,difference,1.4351762317839167,1.3229892248664339,sst_303_305,sst_300_303,72.0,72.0,-0.06106572681003186,True,True,True,False,strong_ascent
iid+spatial10+spatial20,diff_sst_omega,all,,strong_subsidence,,,,,,0.11848535616364758,,0.1861612349057443,,0.15804516573747004,difference,1.571175045873393,1.3338793151719435,sst_303_305,sst_300_303,72.0,72.0,-0.1222657263278959,True,True,True,False,strong_subsidence
iid+spatial10+spatial20,diff_sst_omega,all,,weak_ascent,,,,,,0.11996546793315147,,0.18172071263648626,,0.13551689941022171,difference,1.5147751746173053,1.1296325663126325,sst_303_305,sst_300_303,72.0,72.0,-0.12958666019969511,True,True,True,False,weak_ascent
iid+spatial10+spatial20,diff_sst_omega,all,,weak_subsidence,,,,,,0.13519044812354788,,0.19581218330602967,,0.14788124817940884,difference,1.4484172959252326,1.093873496478561,sst_303_305,sst_300_303,72.0,72.0,-0.13098995553122617,True,True,True,False,weak_subsidence
iid+spatial10+spatial20,diff_sst_only,all,,all,,,,,,0.055511071814430935,,0.17978171944852153,,0.14341492722431812,difference,3.2386641722486895,2.5835373473555463,sst_303_305,sst_300_303,360.0,360.0,-0.1158205125066969,True,True,True,False,pooled (all omega)
