group_type,sst_bin,region,omega_bin,n_samples,n_raw_profiles_total,mean_profiles_per_sample,dlnq_mean_of_samples,dlnq_median_of_samples,dlnq_std,dlnq_p10,dlnq_p25,dlnq_p75,dlnq_p90,dlnq_iqr,q_uut_mean_group,q_uut_median_group,q_uut_p25,q_uut_p75,q_lut_mean_group,q_lut_median_group,q_lut_p25,q_lut_p75,mean_sst_group_mean,mean_sst_group_median,mean_omega_group_mean,mean_omega_group_median,mean_olr_group_mean,mean_olr_group_median,dominant_olr_fraction_group_mean,dominant_olr_fraction_group_median,dominant_olr_bin_group,dominant_olr_bin_group_fraction,sst_sort_lo,sst_sort_hi,omega_sort,reference_sst_bin,delta_dlnq_mean_vs_ref,delta_dlnq_median_vs_ref,delta_q_uut_mean_vs_ref,delta_q_lut_mean_vs_ref,delta_mean_olr_vs_ref
sst_omega,sst_287_295,,strong_ascent,91,13921.0,152.97802197802199,-1.5995795792275733,-1.5464146137237549,0.5101269617848229,-2.19193434715271,-1.941776990890503,-1.347819209098816,-1.1827352046966553,0.593957781791687,3.243454512402832e-05,3.0902272555977106e-05,2.760510778898606e-05,3.545223989931401e-05,0.00021297722672058555,0.00018092631944455206,0.00014384649693965912,0.0002662961633177474,294.04922361284775,294.35850830078124,-0.09761228558471148,-0.09237765426926543,271.4839023473772,275.9311910671658,,,clear_sky,0.978021978021978,287.0,295.0,0,sst_301_302,0.38345130443200315,0.46577584743499756,-1.965477300867231e-05,-0.00030006485423742104,30.95744499186418
sst_omega,sst_287_295,,weak_ascent,95,16995.0,178.89473684210526,-1.540506105879812,-1.507481336593628,0.5024540344002612,-2.1370785236358643,-1.8067312240600586,-1.2613641023635864,-1.1271119832992549,0.5453671216964722,3.1896160822055354e-05,3.0763774702791125e-05,2.732759458012879e-05,3.388019831618294e-05,0.00021285154363891035,0.00017276901053264737,0.00013313708041096106,0.00023439040523953736,294.0776737059494,294.38582284109935,-0.028154257134447132,-0.028164333353439968,275.70549693312216,277.5061600407943,,,clear_sky,0.9789473684210527,287.0,295.0,1,sst_301_302,0.29046949694163704,0.3334919214248657,-1.514249598709967e-05,-0.000196522407594992,16.71570136546643
sst_omega,sst_287_295,,neutral,89,11505.0,129.26966292134833,-1.5478170480620994,-1.4091274738311768,0.4758852296933166,-2.232164716720581,-1.8200606107711792,-1.2441036701202393,-1.0660970687866211,0.5759569406509399,2.9931922643994807e-05,3.060149902012199e-05,2.7451125788502395e-05,3.229181675123982e-05,0.00018940596053428462,0.0001617204543435946,0.000131133827380836,0.00022455451835412532,294.05428775135624,294.3319396972656,0.0006844012366481838,0.00034790454454034636,276.82752543383475,277.7294921875,,,clear_sky,1.0,287.0,295.0,2,sst_301_302,0.24306752869194304,0.3779102563858032,-1.6870756354638645e-05,-0.00020682622546055947,16.622188523687896
sst_omega,sst_287_295,,weak_subsidence,98,24364.0,248.6122448979592,-1.4355236259954316,-1.4123526811599731,0.4382727747002,-2.014746570587158,-1.7305866181850433,-1.21498641371727,-0.9716166794300081,0.5156002044677734,3.206861627367456e-05,3.0713701562490314e-05,2.782376350296545e-05,3.428282707318431e-05,0.00018415381355782524,0.00016498428885824978,0.00012689494178630412,0.00022258201715885662,294.1064219945016,294.4264148530506,0.02922671359255793,0.029342177254847942,277.575672539468,277.7858058462989,,,clear_sky,1.0,287.0,295.0,3,sst_301_302,0.33684850767964414,0.3720490336418152,-1.4430905191333933e-05,-0.00020438466774840851,16.006894011949157
sst_omega,sst_287_295,,strong_subsidence,103,33005.0,320.43689320388347,-1.5677225395530752,-1.458267331123352,0.5527369744652885,-2.2565433979034424,-1.8258581161499023,-1.2292304039001465,-1.118078088760376,0.5966277122497559,3.068754317919052e-05,3.000986180268228e-05,2.6964045900967903e-05,3.456577178440057e-05,0.00019418814667253033,0.00018233955779578537,0.00012884688476333395,0.00023709431843599305,294.1198328895549,294.41566249302457,0.09650548855166804,0.09359864372055272,273.8123111464542,276.99393202463784,,,clear_sky,0.9611650485436893,287.0,295.0,4,sst_301_302,0.24546287185598215,0.3515850305557251,-1.7917218748856937e-05,-0.0002268210905471455,18.719543055681413
sst_omega,sst_295_299,,strong_ascent,373,97617.0,261.70777479892763,-1.6860972888987442,-1.6720101833343506,0.3694046645884898,-2.1524399757385253,-1.910370945930481,-1.4095405340194702,-1.24859402179718,0.5008304119110107,3.467874855668827e-05,3.355290391482413e-05,2.974116250697989e-05,3.831889625871554e-05,0.0002557107719335107,0.00022942695068195462,0.0001739676226861775,0.000311046140268445,298.1253262717018,298.3725891113281,-0.1113146876104961,-0.10104963574253145,270.83251887980055,275.55757369394377,,,clear_sky,0.9597855227882037,295.0,299.0,0,sst_301_302,0.29693359476083225,0.34018027782440186,-1.7410569576012363e-05,-0.0002573313090244959,30.306061524287543
sst_omega,sst_295_299,,weak_ascent,368,108423.0,294.6277173913044,-1.5729103485203308,-1.5654357075691223,0.34709208993188273,-2.00434992313385,-1.7811835706233978,-1.3340328335762024,-1.1654748439788818,0.44715073704719543,3.441677937812331e-05,3.346687662997283e-05,2.958978484457475e-05,3.8350313843693584e-05,0.00022867020297583267,0.00021077701967442408,0.00016030970800784416,0.00026957310910802335,298.12179724290564,298.35963820060795,-0.028229154168313418,-0.028316067488110372,277.099658942789,279.64832072884326,,,clear_sky,0.9836956521739131,295.0,299.0,1,sst_301_302,0.25806525430111815,0.27553755044937134,-1.2621877431031715e-05,-0.00018070374825806968,18.109863375133273
sst_omega,sst_295_299,,neutral,370,71374.0,192.9027027027027,-1.5283521888626588,-1.5290629863739014,0.38272135995559753,-1.977952742576599,-1.725392460823059,-1.2875485718250275,-1.1273283958435059,0.4378438889980316,3.4645461166931185e-05,3.344436663610395e-05,2.992266854562331e-05,3.832042966678273e-05,0.00022228256254763708,0.00020067754667252302,0.00015358476593974046,0.0002606000125524588,298.1315952591205,298.37016429522305,0.00021920109896140865,0.0001976449873602119,277.1089127617003,279.9475149511505,,,clear_sky,0.9621621621621622,295.0,299.0,2,sst_301_302,0.26253238789138367,0.2579747438430786,-1.2157217831702267e-05,-0.000173949623447207,16.903575851553455
sst_omega,sst_295_299,,weak_subsidence,376,144197.0,383.5026595744681,-1.5385328066792894,-1.532193660736084,0.3393996355494918,-1.9972737431526184,-1.7216635644435883,-1.2897100448608398,-1.125548541545868,0.4319535195827484,3.4166927185709785e-05,3.340341572766192e-05,2.964592522403109e-05,3.7846029044885654e-05,0.0002201889027809499,0.00020162534929113463,0.00015517581414314918,0.000259853812167421,298.14363740882413,298.39950287997067,0.02955660502988898,0.02952800150750611,277.935400655049,279.9020355489755,,,clear_sky,0.9787234042553191,295.0,299.0,3,sst_301_302,0.23383932699578636,0.25220805406570435,-1.2332594279298707e-05,-0.00016834957852528387,16.366622127530206
sst_omega,sst_295_299,,strong_subsidence,374,184984.0,494.6096256684492,-1.4958312519362824,-1.4806687235832214,0.36995674847197413,-1.9206112980842591,-1.7122405171394348,-1.251883864402771,-1.077662205696106,0.4603566527366638,3.3644625763649684e-05,3.2831581847858615e-05,2.8378864044498187e-05,3.810899579548277e-05,0.00021307644601133909,0.00019185776909580454,0.00014713872587890364,0.0002523997536627576,298.13848270654745,298.38847562629,0.10149953995775014,0.09846304869487314,276.44907577397845,279.33136504498276,,,clear_sky,0.9866310160427807,295.0,299.0,4,sst_301_302,0.3173541594727749,0.3291836380958557,-1.4960136164397776e-05,-0.00020793279120833675,21.35630768320567
