n_slope,slope,n_curve,curvature,vertex,breakpoint,kernel,label,note,n_profiles,n_aggregates
13313,-0.1321286187077846,17480,0.034834754480024537,303.31310052956076,302.60000000000036,303.3000000000005,ALL YEARS,full sample,3356306,30734
13293,-0.13037266400471673,17423,0.03535833744009181,303.2702877963448,302.8000000000004,303.3000000000005,drop 2005,omits Aug-Dec 2004 and 2005,3102695,30590
13301,-0.13337736414382245,17461,0.03540056607857255,303.2978236779395,302.60000000000036,303.3000000000005,drop 2006,omits 2006,3176075,30657
13295,-0.13157292872374565,17456,0.0349235878256154,303.3071995365441,302.8000000000004,303.3000000000005,drop 2007,omits 2007,3175754,30650
13294,-0.13408943768235437,17455,0.03521098988498509,303.31902929092234,302.60000000000036,303.3000000000005,drop 2008,omits 2008,3171524,30555
13311,-0.13336846990398468,17467,0.03557146826348446,303.29417932649505,302.8000000000004,303.3000000000005,drop 2009,omits 2009,3173800,30641
13281,-0.13245730963694763,17379,0.03534811303224394,303.282818246324,302.60000000000036,303.3000000000005,drop 2010,omits 2010,3174591,30579
13300,-0.13276555707390247,17464,0.03504332621938977,303.3158738632962,302.60000000000036,303.3000000000005,drop 2011,omits 2011,3190165,30659
13310,-0.1345048540241923,17456,0.03551126089406082,303.30671082676406,302.60000000000036,303.3000000000005,drop 2012,omits 2012,3186009,30628
13311,-0.13358947118088565,17473,0.0350415132602745,303.32911945177045,302.8000000000004,303.40000000000055,drop 2013,omits 2013,3177832,30695
13309,-0.1322889816946667,17458,0.0345215183417917,303.33197862475896,302.8000000000004,303.40000000000055,drop 2014,omits 2014,3178724,30659
13217,-0.1342118283181514,17239,0.03460446796091151,303.3523855600738,302.8000000000004,303.40000000000055,drop 2015,omits 2015,3179376,30413
13226,-0.13192388960191148,17214,0.03541693348370334,303.2744152480687,302.60000000000036,303.3000000000005,drop 2016,omits 2016,3178794,30435
13285,-0.13212896289777779,17433,0.03521236568015956,303.2992455341106,302.8000000000004,303.3000000000005,drop 2017,omits 2017,3184869,30658
13309,-0.13237428959476139,17473,0.03585536476232243,303.2693850949241,302.60000000000036,303.3000000000005,drop 2018,omits 2018,3197977,30702
13297,-0.13049535090379225,17453,0.034026738568226605,303.3377502049233,302.60000000000036,303.40000000000055,drop 2019,omits 2019,3193419,30656
13297,-0.13018038923753486,17424,0.033716268021789814,303.34006866643193,302.60000000000036,303.40000000000055,drop 2020,omits 2020,3190732,30657
13308,-0.13150786457004043,17466,0.03505620582481144,303.2921752746909,302.60000000000036,303.3000000000005,drop 2021,omits 2021,3191287,30713
13313,-0.1308819147114303,17477,0.034418156408714054,303.31750548574007,302.60000000000036,303.3000000000005,drop 2022,omits 2022,3196635,30689
13226,-0.13342198796079324,17264,0.034567142585219264,303.34493437563987,302.50000000000034,303.40000000000055,drop 2023,omits 2023,3193250,30471
