label,delta_dlnq,n_aggregates
ALL YEARS,-0.15175771713256836,6315
drop 2005,-0.1517798900604248,6299
drop 2006,-0.15339577198028564,6309
drop 2007,-0.15346753597259521,6310
drop 2008,-0.15181219577789307,6307
drop 2009,-0.1532909870147705,6311
drop 2010,-0.1516660451889038,6296
drop 2011,-0.15254640579223633,6305
drop 2012,-0.15231812000274658,6313
drop 2013,-0.15461933612823486,6314
drop 2014,-0.15320348739624023,6311
drop 2015,-0.15425431728363037,6242
drop 2016,-0.15110862255096436,6273
drop 2017,-0.15440034866333008,6305
drop 2018,-0.1507481336593628,6315
drop 2019,-0.15183889865875244,6300
drop 2020,-0.14637935161590576,6299
drop 2021,-0.1486063003540039,6314
drop 2022,-0.1505032777786255,6314
drop 2023,-0.15463602542877197,6266
