n_slope,slope,n_curve,curvature,vertex,breakpoint,kernel,label,note,n_profiles,n_aggregates
2032,-0.18889988434121535,3039,0.05910381856901855,303.1135845593697,302.60000000000036,303.1000000000005,ALL YEARS,full sample,530968,3735
2029,-0.1820717468956835,3025,0.05660921500969933,303.1210139311395,302.60000000000036,303.1000000000005,drop 2005,omits Aug-Dec 2004 and 2005,491101,3704
2032,-0.18883362125920974,3039,0.05897706222772467,303.12251543998985,302.60000000000036,303.1000000000005,drop 2006,omits 2006,503161,3724
2030,-0.1898075502097394,3035,0.058886852924611155,303.1259165700072,302.60000000000036,303.1000000000005,drop 2007,omits 2007,502496,3727
2021,-0.1945151910921771,3026,0.060531012729638574,303.11926388311224,302.60000000000036,303.1000000000005,drop 2008,omits 2008,502271,3693
2032,-0.18806894036126695,3036,0.059133609543413394,303.11051984299553,302.60000000000036,303.1000000000005,drop 2009,omits 2009,502677,3732
2025,-0.1860076568178531,3024,0.05934513149163399,303.08921047772105,302.50000000000034,303.1000000000005,drop 2010,omits 2010,502440,3718
2031,-0.183959732804047,3037,0.05766825401446593,303.1134993476949,302.60000000000036,303.1000000000005,drop 2011,omits 2011,504859,3729
2032,-0.19100970103939913,3033,0.06164924962605123,303.0725785330584,302.60000000000036,303.1000000000005,drop 2012,omits 2012,504595,3699
2032,-0.1896613867587114,3035,0.05914661118880693,303.1206175800939,302.60000000000036,303.1000000000005,drop 2013,omits 2013,503208,3731
2029,-0.1915730670827411,3026,0.0582153140263986,303.1575148226863,302.50000000000034,303.2000000000005,drop 2014,omits 2014,502884,3713
2018,-0.20360551590665604,3011,0.06176513210595896,303.16321223605865,302.50000000000034,303.2000000000005,drop 2015,omits 2015,502816,3687
2025,-0.1861304237246255,3011,0.05929238967686436,303.08798576241554,302.50000000000034,303.1000000000005,drop 2016,omits 2016,503161,3703
2032,-0.19015885076488503,3028,0.06066076876548495,303.0848478889574,302.50000000000034,303.1000000000005,drop 2017,omits 2017,503706,3723
2032,-0.18826599082399428,3038,0.05968949956079694,303.09587083927784,302.60000000000036,303.1000000000005,drop 2018,omits 2018,505236,3734
2031,-0.1860619401696558,3035,0.056642689404385216,303.153989361387,302.50000000000034,303.2000000000005,drop 2019,omits 2019,504732,3719
2032,-0.18659529831260208,3038,0.059054867050486515,303.08951670586976,302.50000000000034,303.1000000000005,drop 2020,omits 2020,504328,3734
2032,-0.1897859552693496,3036,0.060701651884718606,303.08043257327404,302.60000000000036,303.1000000000005,drop 2021,omits 2021,504296,3732
2032,-0.18938548126518853,3037,0.059321658915161266,303.10626060102334,302.50000000000034,303.1000000000005,drop 2022,omits 2022,504783,3733
2032,-0.18969758125453595,3035,0.059066202795148244,303.12294286336305,302.60000000000036,303.2000000000005,drop 2023,omits 2023,504674,3731
