label,delta_dlnq,n_aggregates
ALL YEARS,-0.11582049885465562,942
drop 2005,-0.11500134888517666,937
drop 2006,-0.11910504730967819,942
drop 2007,-0.11694687047655772,942
drop 2008,-0.11503547976851092,938
drop 2009,-0.11721113031992592,942
drop 2010,-0.11362567874679042,942
drop 2011,-0.1160837640969381,942
drop 2012,-0.1154267467646144,942
drop 2013,-0.11916708338601723,942
drop 2014,-0.11977027027217546,942
drop 2015,-0.12020290976472747,940
drop 2016,-0.11082180433989053,940
drop 2017,-0.11263149588881682,941
drop 2018,-0.11737148062304925,942
drop 2019,-0.11777259439871979,938
drop 2020,-0.11075204818549067,942
drop 2021,-0.11207446100028617,942
drop 2022,-0.11325393649867865,942
drop 2023,-0.11781956669543492,942
